IDStudent,NameStudent,IDSubject,NameSubject,Grade
2151163501,Lucias,CK789,Co hoc,6.79
2151163502,Giacopo,CK789,Co hoc,3.35
2151163503,Theresina,CK789,Co hoc,0.7
2151163504,Gayle,CK789,Co hoc,6.02
2151163505,Maurie,CK789,Co hoc,5.21
2151163506,Pearline,CK789,Co hoc,1.93
2151163507,Ashien,CK789,Co hoc,1.88
2151163508,Forrester,CK789,Co hoc,1.29
2151163509,Noak,CK789,Co hoc,6.38
2151163510,Jen,CK789,Co hoc,8.19
2151163511,Meris,CK789,Co hoc,0.36
2151163512,Ban,CK789,Co hoc,7.2
2151163513,Wally,CK789,Co hoc,5.79
2151163514,Brittney,CK789,Co hoc,9.8
2151163515,Dedie,CK789,Co hoc,4.09
2151163516,Willabella,CK789,Co hoc,5.44
2151163517,Vernen,CK789,Co hoc,6.21
2151163518,Freda,CK789,Co hoc,3.94
2151163519,Adolph,CK789,Co hoc,8.17
2151163520,Suellen,CK789,Co hoc,1.04
2151163521,Codee,CK789,Co hoc,4.07
2151163522,Andromache,CK789,Co hoc,0.75
2151163523,Odille,CK789,Co hoc,8.04
2151163524,Melvyn,CK789,Co hoc,5.03
2151163525,Hulda,CK789,Co hoc,0.77
2151163526,Noelyn,CK789,Co hoc,3.17
2151163527,Zea,CK789,Co hoc,7.32
2151163528,Rhett,CK789,Co hoc,1.97
2151163529,Tremain,CK789,Co hoc,7.7
2151163530,Marieann,CK789,Co hoc,0.48
2151163531,Ardenia,CK789,Co hoc,8.58
2151163532,Gail,CK789,Co hoc,6.76
2151163533,Jorry,CK789,Co hoc,2.54
2151163534,Briny,CK789,Co hoc,8.56
2151163535,Elfrieda,CK789,Co hoc,4.22
2151163536,Tamqrah,CK789,Co hoc,6.28
2151163537,Mariam,CK789,Co hoc,8.66
2151163538,Arda,CK789,Co hoc,8.32
2151163539,Baron,CK789,Co hoc,2.71
2151163540,Wenda,CK789,Co hoc,0.16
2151163541,Agathe,CK789,Co hoc,3.86
2151163542,Elsie,CK789,Co hoc,4.56
2151163543,Letty,CK789,Co hoc,7.43
2151163544,Pembroke,CK789,Co hoc,8.18
2151163545,Abie,CK789,Co hoc,3.98
2151163546,Helli,CK789,Co hoc,5.3
2151163547,Alexei,CK789,Co hoc,1.94
2151163548,Sabra,CK789,Co hoc,2.98
2151163549,Avril,CK789,Co hoc,7.57
2151163550,Rudd,CK789,Co hoc,4.74
2151163551,Joey,CK789,Co hoc,6.94
2151163552,Adair,CK789,Co hoc,3.43
2151163553,Corty,CK789,Co hoc,1.42
2151163554,Mikel,CK789,Co hoc,6.36
2151163555,Laurent,CK789,Co hoc,4.45
2151163556,Lilah,CK789,Co hoc,3.85
2151163557,Kiley,CK789,Co hoc,3.37
2151163558,Bobinette,CK789,Co hoc,1.58
2151163559,Vivianna,CK789,Co hoc,0.22
2151163560,Audi,CK789,Co hoc,0.57
2151163561,Caldwell,CK789,Co hoc,2.83
2151163562,Zak,CK789,Co hoc,3.7
2151163563,Rockwell,CK789,Co hoc,8.98
2151163564,Bart,CK789,Co hoc,9.94
2151163565,Flem,CK789,Co hoc,6.95
2151163566,Tracy,CK789,Co hoc,1.66
2151163567,Lib,CK789,Co hoc,8.23
2151163568,Tremayne,CK789,Co hoc,9.31
2151163569,Mehetabel,CK789,Co hoc,5.25
2151163570,Alexis,CK789,Co hoc,3.0
2151163571,Tybie,CK789,Co hoc,9.45
2151163572,Roley,CK789,Co hoc,8.4
2151163573,Jacklyn,CK789,Co hoc,8.3
2151163574,Jemmie,CK789,Co hoc,0.49
2151163575,Darn,CK789,Co hoc,8.21
2151163576,Jannel,CK789,Co hoc,7.04
2151163577,Ginevra,CK789,Co hoc,9.52
2151163578,Glennie,CK789,Co hoc,2.83
2151163579,Lutero,CK789,Co hoc,8.36
2151163580,Northrop,CK789,Co hoc,4.02
2151163581,Carling,CK789,Co hoc,0.83
2151163582,Gale,CK789,Co hoc,7.89
2151163583,Darb,CK789,Co hoc,3.6
2151163584,Norine,CK789,Co hoc,5.48
2151163585,Elayne,CK789,Co hoc,6.26
2151163586,Brandi,CK789,Co hoc,7.37
2151163587,Caterina,CK789,Co hoc,7.96
2151163588,Joy,CK789,Co hoc,8.94
2151163589,Austine,CK789,Co hoc,0.86
2151163590,Franciska,CK789,Co hoc,9.5
2151163591,Alverta,CK789,Co hoc,4.07
2151163592,Cordell,CK789,Co hoc,1.29
2151163593,Nikaniki,CK789,Co hoc,9.44
2151163594,Annemarie,CK789,Co hoc,1.49
2151163595,Abey,CK789,Co hoc,6.19
2151163596,Shirl,CK789,Co hoc,6.26
2151163597,Hermann,CK789,Co hoc,8.31
2151163598,Webb,CK789,Co hoc,5.4
2151163599,Elfrieda,CK789,Co hoc,0.63
2151163600,Tull,CK789,Co hoc,1.79
2151163601,Gillan,CK789,Co hoc,6.36
2151163602,Gil,CK789,Co hoc,9.13
2151163603,Orson,CK789,Co hoc,6.78
2151163604,Archibold,CK789,Co hoc,5.25
2151163605,Lowrance,CK789,Co hoc,9.59
2151163606,Carolyne,CK789,Co hoc,0.95
2151163607,Slade,CK789,Co hoc,8.08
2151163608,Berni,CK789,Co hoc,6.37
2151163609,Janice,CK789,Co hoc,3.67
2151163610,Concordia,CK789,Co hoc,7.43
2151163611,Elsworth,CK789,Co hoc,7.2
2151163612,Jillana,CK789,Co hoc,0.85
2151163613,Jean,CK789,Co hoc,3.93
2151163614,Robers,CK789,Co hoc,4.04
2151163615,Danell,CK789,Co hoc,8.25
2151163616,Shandeigh,CK789,Co hoc,2.89
2151163617,Ardith,CK789,Co hoc,1.03
2151163618,Wilow,CK789,Co hoc,4.29
2151163619,Layney,CK789,Co hoc,0.19
2151163620,Jordan,CK789,Co hoc,1.39
2151163621,Simonette,CK789,Co hoc,9.18
2151163622,Tedi,CK789,Co hoc,0.76
2151163623,Stafani,CK789,Co hoc,5.07
2151163625,Kass,CK789,Co hoc,6.13
2151163626,Lenna,CK789,Co hoc,1.54
2151163627,Sam,CK789,Co hoc,7.67
2151163628,Jeralee,CK789,Co hoc,3.13
2151163629,Luisa,CK789,Co hoc,2.89
2151163630,Deane,CK789,Co hoc,2.6
2151163631,Buffy,CK789,Co hoc,8.52
2151163632,Fay,CK789,Co hoc,1.8
2151163633,Sylvan,CK789,Co hoc,5.52
2151163634,Jemmy,CK789,Co hoc,8.85
2151163635,Jolee,CK789,Co hoc,6.62
2151163636,Hattie,CK789,Co hoc,4.76
2151163637,Sasha,CK789,Co hoc,2.09
2151163638,Jethro,CK789,Co hoc,7.81
2151163639,Jesse,CK789,Co hoc,2.46
2151163640,Dew,CK789,Co hoc,9.4
2151163641,Rik,CK789,Co hoc,0.36
2151163642,Dix,CK789,Co hoc,3.91
2151163643,Kenny,CK789,Co hoc,7.11
2151163644,Marchall,CK789,Co hoc,2.56
2151163645,Harald,CK789,Co hoc,9.53
2151163646,Maryann,CK789,Co hoc,0.11
2151163647,Bobbi,CK789,Co hoc,0.91
2151163648,Fredrick,CK789,Co hoc,1.51
2151163649,Alaric,CK789,Co hoc,5.43
2151163650,Shelba,CK789,Co hoc,9.82
2151163651,Alice,CK789,Co hoc,0.64
2151163652,Darline,CK789,Co hoc,4.89
2151163653,Brien,CK789,Co hoc,9.22
2151163654,Kelbee,CK789,Co hoc,2.75
2151163655,Marcel,CK789,Co hoc,8.91
2151163656,Reggie,CK789,Co hoc,5.44
2151163657,Scottie,CK789,Co hoc,2.53
2151163658,Preston,CK789,Co hoc,3.97
2151163660,Rosabel,CK789,Co hoc,6.77
2151163661,Ursula,CK789,Co hoc,5.75
2151163662,Ewan,CK789,Co hoc,1.59
2151163663,Quincey,CK789,Co hoc,1.07
2151163664,Melinde,CK789,Co hoc,2.9
2151163665,Garv,CK789,Co hoc,0.45
2151163666,Melisa,CK789,Co hoc,2.93
2151163667,Zaneta,CK789,Co hoc,1.32
2151163668,Horatio,CK789,Co hoc,3.62
2151163669,Lefty,CK789,Co hoc,2.75
2151163670,Dara,CK789,Co hoc,7.83
2151163671,Ainslee,CK789,Co hoc,9.43
2151163672,Wanids,CK789,Co hoc,2.68
2151163673,Lauritz,CK789,Co hoc,4.4
2151163674,Perceval,CK789,Co hoc,9.81
2151163675,Herbert,CK789,Co hoc,3.89
2151163676,Salomo,CK789,Co hoc,0.0
2151163677,Garrott,CK789,Co hoc,1.58
2151163678,Lenee,CK789,Co hoc,1.73
2151163679,Staford,CK789,Co hoc,7.33
2151163680,Romonda,CK789,Co hoc,4.22
2151163682,Roselia,CK789,Co hoc,9.34
2151163683,Roxanna,CK789,Co hoc,7.38
2151163684,Cassie,CK789,Co hoc,8.17
2151163685,Amalie,CK789,Co hoc,8.82
2151163686,Georg,CK789,Co hoc,4.82
2151163687,Alyssa,CK789,Co hoc,6.5
2151163688,Maynard,CK789,Co hoc,3.69
2151163689,Jemimah,CK789,Co hoc,2.4
2151163691,Dare,CK789,Co hoc,2.75
2151163692,Lawrence,CK789,Co hoc,4.19
2151163693,Anastasie,CK789,Co hoc,8.2
2151163694,Mariel,CK789,Co hoc,7.2
2151163695,Arliene,CK789,Co hoc,8.99
